,fips,y
0,6079,45032.194036397756
1,6097,34749.54531501533
2,6071,51253.53860908836
3,6035,90100.09420631183
4,6017,82026.20176799806
5,6053,37402.62898295061
6,6107,59944.386805210335
7,6031,76874.11885277183
8,6013,27979.860437159263
9,6103,89990.39499857914
10,6075,7055.7044535166815
11,6039,43246.26316392883
12,6093,86784.4387755102
13,6057,27210.007422990424
14,6099,69496.57808803966
15,6101,61254.74713805634
16,6073,40085.18018952333
17,6037,42128.15606537493
18,6019,69136.8994677025
19,6055,48852.705397831254
20,6109,47122.07427011883
21,6033,12050.618083294628
22,6015,44642.1950315165
23,6051,37987.21548479598
24,6077,55805.35046064678
25,6095,52398.274467219606
26,6059,46521.30918150018
27,6089,64030.30252787243
28,6001,22013.811498597028
29,6081,20175.099793586436
30,6113,54816.814268072565
31,6041,39101.68753670116
32,6005,52243.6353925583
33,6023,35471.96119635753
34,6085,30610.140501388363
35,6067,59671.42402012829
36,6111,47364.904248708684
37,6021,33961.387578888134
38,6047,82313.45419129667
39,6083,42056.71386166675
40,6065,56843.56357023114
41,6029,73423.36512196717
42,6115,61214.92788995159
43,6007,36082.942439307066
44,6061,60882.42772643716
45,6025,52941.74895309814
46,6087,28001.513016387933
47,6069,34783.5327748707
48,6079,44888.16150439697
49,6097,35299.477124241675
50,6071,51994.61976221403
51,6035,91358.92604804522
52,6017,82768.00274855756
53,6053,37695.58719959999
54,6107,60226.89546004534
55,6031,77944.14424379652
56,6013,28309.66627692928
57,6103,90071.63341858482
58,6075,7023.910245369358
59,6039,44364.002284843875
60,6093,85114.79591836735
61,6057,27655.324653172618
62,6099,70246.7985744281
63,6101,61620.310920466654
64,6073,40301.11659035423
65,6037,42326.69773865877
66,6019,69760.98442878676
67,6055,49193.50349991193
68,6109,47281.98882067383
69,6033,12152.512348193795
70,6015,44396.4193018698
71,6051,38946.11386582233
72,6077,55606.96775202513
73,6095,52422.04102808815
74,6059,46904.18900666323
75,6089,71175.99652402349
76,6001,22080.35664758133
77,6081,20250.43797307322
78,6113,55225.64140665456
79,6041,39326.60779452682
80,6005,53607.35267936621
81,6023,35288.33115261092
82,6085,30766.377021235094
83,6067,60529.33236401875
84,6111,47812.05790033358
85,6021,34151.9718730214
86,6047,82882.87842619805
87,6083,42448.950072736785
88,6065,57512.61983818266
89,6029,73987.25538181825
90,6115,61821.62150990812
91,6007,36322.82094503135
92,6061,61024.902459871504
93,6025,53265.52865478828
94,6087,28155.4122500293
95,6069,35694.62586269524
96,6079,44787.24666711588
97,6097,35747.45772889407
98,6071,52738.54218059588
99,6035,91353.03815355629
100,6017,82996.38132349074
101,6053,37860.54330208365
102,6107,60305.89984443362
103,6031,77893.53421410121
104,6013,28615.3395856247
105,6103,90154.98309178744
106,6075,6967.023487167697
107,6039,45477.03942612892
108,6093,85451.5306122449
109,6057,27920.024960200135
110,6099,70426.80685211306
111,6101,61853.637878746486
112,6073,40383.55700336481
113,6037,42431.89206093682
114,6019,70035.87224685375
115,6055,49658.71310818813
116,6109,47072.91117229387
117,6033,12326.23031583286
118,6015,44354.044176068644
119,6051,38898.201804169905
120,6077,55769.80144585336
121,6095,52674.09964279164
122,6059,47000.47683425816
123,6089,81323.45984831704
124,6001,22134.494876962963
125,6081,20251.318238699143
126,6113,55531.75090848961
127,6041,39551.526663081815
128,6005,52905.46555100587
129,6023,35079.199317161816
130,6085,30818.65881868434
131,6067,61341.888403675184
132,6111,48167.176589238836
133,6021,34367.85417381764
134,6047,83585.89134050316
135,6083,42677.94166440565
136,6065,57841.74280922015
137,6029,74303.86864531298
138,6115,62254.82543710745
139,6007,36729.4616021164
140,6061,61346.75371859565
141,6025,53620.24562337141
142,6087,28474.132923047553
143,6069,36095.84943674503
144,6079,44683.69573294855
145,6097,36014.01683364895
146,6071,53402.84574323786
147,6035,91513.18888365521
148,6017,82914.29995528632
149,6053,37954.02041085006
150,6107,60671.124091490565
151,6031,77502.8727778522
152,6013,28862.310483803136
153,6103,90631.50206024438
154,6075,6876.69482832219
155,6039,46399.78967023145
156,6093,86303.57142857143
157,6057,28208.8327394941
158,6099,70579.66918612753
159,6101,62073.16739979782
160,6073,40275.50191262228
161,6037,42541.202484238136
162,6019,70135.46943581817
163,6055,50040.59397403848
164,6109,47229.245616441665
165,6033,12373.600339689649
166,6015,44278.8283277716
167,6051,39144.273851484555
168,6077,55810.59330262072
169,6095,52945.719547093846
170,6059,47047.196010348285
171,6089,88857.37105050388
172,6001,22136.513342840273
173,6081,20167.88198960818
174,6113,56064.816785654555
175,6041,39643.10626641337
176,6005,53610.91329891401
177,6023,34897.20857186281
178,6085,30783.421220939515
179,6067,62182.32740198631
180,6111,48369.97000329188
181,6021,34509.639291843094
